no, grayscale, invert, icon
0,0.09594035148620605,0.2568659782409668,0.011804819107055664
1,0.09319806098937988,0.2531156539916992,0.012115240097045898
2,0.09293889999389648,0.25331735610961914,0.012009620666503906
3,0.09367132186889648,0.25305819511413574,0.012237548828125
4,0.09310245513916016,0.25272202491760254,0.012121915817260742
5,0.09329676628112793,0.2534792423248291,0.012145519256591797
6,0.09264826774597168,0.2532069683074951,0.011454105377197266
7,0.0930032730102539,0.2527906894683838,0.012254953384399414
8,0.09356379508972168,0.2537820339202881,0.011862039566040039
9,0.09284853935241699,0.2537384033203125,0.012725114822387695
10,0.09362649917602539,0.25388097763061523,0.011862039566040039
11,0.09289312362670898,0.2531583309173584,0.012199640274047852
12,0.09321022033691406,0.25339174270629883,0.012412309646606445
13,0.09341597557067871,0.2537689208984375,0.012910127639770508
14,0.09347820281982422,0.254439115524292,0.012396812438964844
15,0.09359955787658691,0.2537992000579834,0.012714862823486328
16,0.09374332427978516,0.2542264461517334,0.012657880783081055
17,0.09357738494873047,0.25389552116394043,0.012389183044433594
18,0.09357810020446777,0.2540245056152344,0.012359857559204102
19,0.0934591293334961,0.25382137298583984,0.012505531311035156
20,0.09346437454223633,0.2538905143737793,0.012074470520019531
21,0.09352564811706543,0.25421667098999023,0.012352466583251953
22,0.09376859664916992,0.2547943592071533,0.012552738189697266
23,0.0936436653137207,0.25412678718566895,0.01238250732421875
24,0.09338760375976562,0.25435757637023926,0.012629032135009766
25,0.0939629077911377,0.2546501159667969,0.01242208480834961
26,0.09370732307434082,0.2542860507965088,0.012096881866455078
27,0.09344267845153809,0.2540438175201416,0.012670278549194336
28,0.0937190055847168,0.25491809844970703,0.012215375900268555
29,0.09348011016845703,0.25415611267089844,0.012270927429199219
30,0.09353995323181152,0.2543191909790039,0.012326717376708984
31,0.09379315376281738,0.2544291019439697,0.012504816055297852
32,0.09388017654418945,0.2542440891265869,0.012276887893676758
33,0.09343934059143066,0.25406885147094727,0.01241445541381836
34,0.09317898750305176,0.2536661624908447,0.012343406677246094
35,0.09360003471374512,0.2538459300994873,0.01239323616027832
36,0.09314799308776855,0.2548329830169678,0.013089179992675781
37,0.09337353706359863,0.25426244735717773,0.01205301284790039
38,0.09367537498474121,0.2540102005004883,0.01212453842163086
39,0.09363913536071777,0.2544429302215576,0.012514829635620117
40,0.09342193603515625,0.25395750999450684,0.012168169021606445
41,0.09372210502624512,0.2540555000305176,0.0123291015625
42,0.09349393844604492,0.25422024726867676,0.012059211730957031
43,0.09351205825805664,0.25408482551574707,0.012588739395141602
44,0.09334897994995117,0.25463390350341797,0.012323141098022461
45,0.09374332427978516,0.2541928291320801,0.012430667877197266
46,0.09351301193237305,0.25490403175354004,0.012523651123046875
47,0.09352588653564453,0.2543768882751465,0.0125579833984375
48,0.09360361099243164,0.2538130283355713,0.01209259033203125
49,0.0934758186340332,0.2543652057647705,0.01255035400390625
50,0.09360909461975098,0.2545657157897949,0.012497186660766602
51,0.09366297721862793,0.2545027732849121,0.012219429016113281
52,0.09338188171386719,0.25415682792663574,0.012115478515625
53,0.0935370922088623,0.254685640335083,0.012259483337402344
54,0.09344315528869629,0.25429582595825195,0.012421369552612305
55,0.09328007698059082,0.2542154788970947,0.012450218200683594
56,0.09408235549926758,0.2549145221710205,0.01214742660522461
57,0.0935826301574707,0.2537689208984375,0.012232780456542969
58,0.09341716766357422,0.2545003890991211,0.012929916381835938
59,0.09396553039550781,0.2543625831604004,0.012729644775390625
60,0.09364676475524902,0.25409960746765137,0.012566804885864258
61,0.0933675765991211,0.2546842098236084,0.012872457504272461
62,0.09338927268981934,0.25432682037353516,0.012087821960449219
63,0.09348773956298828,0.2546825408935547,0.012467622756958008
64,0.09357166290283203,0.25453734397888184,0.012569427490234375
65,0.09344077110290527,0.2546536922454834,0.012301445007324219
66,0.09359097480773926,0.25441813468933105,0.012350320816040039
67,0.0936741828918457,0.2547292709350586,0.012601137161254883
68,0.09346532821655273,0.25450706481933594,0.012583494186401367
69,0.09344053268432617,0.25458455085754395,0.012571096420288086
